	38°		36°		33-34°		30-31°		24-26°		20-21°		18°		15°		10°		5°	
time	rate	kum	rate	kum	rate	kum	rate	kum	rate	kum	rate	kum	rate	kum	rate	kum	rate	kum	rate	kum
0	0	22.7	0	54.8	1.5	75.6	4	159.7	5.25	126.3	11.03	288.44	7.85	281.28	8.3	267.9	6.6	148.05	1.375	67.275
1	0	22.7	0	54.8	1.5	74.1	9	155.7	5.25	121.05	14.52	277.41	7.85	273.43	13.2	259.6	6.6	141.45	1.375	65.9
2	0	22.7	0	54.8	1.5	72.6	9	146.7	5.25	115.8	16.35	262.89	7.85	265.58	13.2	246.4	6.6	134.85	1.375	64.525
3	0	22.7	2.9	54.8	1.5	71.1	9	137.7	5.25	110.55	13.21	246.54	7.85	257.73	13	233.2	6.6	128.25	1.375	63.15
4	0	22.7	2.9	51.9	3	69.6	6.5	128.7	2.75	105.3	7.42	233.33	7.85	249.88	13	220.2	6.6	121.65	1.375	61.775
5	0	22.7	3.9	49	3	66.6	6.5	122.2	2.75	102.55	5.84	225.92	8.6	242.03	9.3	207.2	6.6	115.05	1.375	60.4
6	1.3	22.7	3.9	45.1	8.3	63.6	4.5	115.7	2.75	99.8	5.27	220.08	11.68	233.43	11.6	197.9	6.6	108.45	1.375	59.025
7	1.3	21.4	3.9	41.2	8.3	55.3	4.5	111.2	2.75	97.05	5.78	214.81	11.68	221.75	11.6	186.3	6.6	101.85	2.625	57.65
8	1.3	20.1	3.9	37.3	8.3	47	4.5	106.7	2.75	94.3	11.48	209.03	11.68	210.07	13.5	174.7	6.9	95.25	2.625	55.025
9	1.3	18.8	3.9	33.4	4.3	38.7	8	102.2	2.75	91.55	11.15	197.55	11.68	198.39	13.5	161.2	6.9	88.35	1.25	52.4
10	1.3	17.5	3.9	29.5	4.3	34.4	20	94.2	2.75	88.8	9.56	186.40	11.68	186.71	13.5	147.7	6.9	81.45	1.25	51.15
11	1.3	16.2	3.9	25.6	4.3	30.1	17	74.2	3.75	86.05	10.37	176.84	11.68	175.03	13.5	134.2	5.9	74.55	1.25	49.9
12	1.3	14.9	3.9	21.7	4.3	25.8	7	57.2	3.75	82.3	10.35	166.47	11.68	163.35	13.5	120.7	5.9	68.65	1.25	48.65
13	1.3	13.6	3.9	17.8	4.3	21.5	6	50.2	3.75	78.55	9.68	156.12	11.68	151.67	5.2	107.2	2.65	62.75	1.25	47.4
14	1.3	12.3	3.9	13.9	4.3	17.2	2	44.2	3.75	74.8	8.41	146.44	11.68	139.99	5.2	102	2.65	60.1	3.55	46.15
15	1.3	11	2.5	10	4.3	12.9	2	42.2	3.75	71.05	8.42	138.03	5.68	128.31	2.6	96.8	2.65	57.45	3.55	42.6
16	1.3	9.7	2.5	7.5	4.3	8.6	4.7	40.2	3.75	67.3	5.77	129.61	5.68	122.63	2.6	94.2	2.65	54.8	3.55	39.05
